anime_id,eng_version,Score,Genres,Type,Episodes,Members,Premiered
5114,Fullmetal Alchemist:Brotherhood,9.19,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",TV,64,2248456,Spring 2009
40028,Attack on Titan Final Season,9.17,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,16,733260,Winter 2021
9253,Steins;Gate,9.11,"Thriller, Sci-Fi",TV,24,1771162,Spring 2011
38524,Attack on Titan Season 3 Part 2,9.1,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power",TV,10,1073626,Spring 2019
28977,Gintama Season 4,9.1,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,404121,Spring 2015
11061,Hunter x Hunter,9.1,"Action, Adventure, Fantasy, Shounen, Super Power",TV,148,1673924,Fall 2011
9969,Gintama Season 2,9.08,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",TV,51,365579,Spring 2011
820,Legend of the Galactic Heroes,9.07,"Military, Sci-Fi, Space, Drama",OVA,110,230168,
15417,Gintama:Enchousen,9.04,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,222819,Fall 2012
28851,A Silent Voice,9.0,"Drama, School, Shounen",Movie,1,1387607,
35180,March Comes In Like A Lion 2nd Season,9.0,"Drama, Game, Seinen, Slice of Life",TV,22,266243,Fall 2017
34096,Gintama Season 5,8.99,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,12,201735,Winter 2017
32281,Your Name.,8.96,"Romance, Supernatural, School, Drama",Movie,1,1726660,
4181,Clannad ~After Story~,8.96,"Slice of Life, Comedy, Supernatural, Drama, Romance",TV,24,915885,Fall 2008
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.96,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",Movie,1,171119,
918,Gintama,8.96,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,754607,Spring 2006
